Date,FB,TWTR,NFLX,Optimized portfolio daily worth in $
2013-11-07,567492.7940315905,6446.613533564627,429163.0491693286,1003102.4567344836
2013-11-08,567134.8058388119,5979.987853145169,439719.4635568934,1012834.2572488505
2013-11-11,551265.0778067115,6159.4592686911155,443671.5646834821,1001096.1017588847
2013-11-12,556157.2569627414,6015.882136254358,438183.25784876116,1000356.3969477569
2013-11-13,581214.7360927511,6116.385554651556,440218.41056831693,1027549.5322157197
2013-11-14,584555.7722884238,6416.461905021509,449790.08312736015,1040762.3173208055
2013-11-15,584794.3674455067,6314.522284568546,459230.45432502404,1050339.3440550994
2013-11-18,546850.196354146,5906.763084871025,448739.6998090604,1001496.6592480773
2013-11-19,553174.2208919914,5994.345279234578,442857.48889020167,1002026.0550614276
2013-11-20,554009.4590596571,5893.841142951716,445785.46513258416,1005688.7653351929
2013-11-21,557231.1499482112,6038.854333867107,457576.0810680151,1020846.0853500933
2013-11-22,551623.0302030571,5886.662429907011,456722.6406008727,1014232.3332338368
2013-11-25,534798.7067640282,5608.122936556837,459860.6935069154,1000267.5232075003
2013-11-26,547566.089214693,5768.929181308871,466373.12522584264,1019708.1436218445
2013-11-27,554725.4115809256,5872.305003817601,475944.78859397426,1036542.5051787174
2013-11-29,560930.078879508,5968.501395395964,480290.757041055,1047189.3373159589
2013-12-02,561526.7218900907,5855.075317193792,477822.3539453228,1045204.1511526073
2013-12-03,557589.1023445566,5939.785825331481,476535.6355292695,1040064.5236991576
2013-12-04,580140.8431072811,6272.8847725847545,467778.0019998611,1054191.7298797271
2013-12-05,576799.8546401857,6549.988638187695,470128.24673762807,1053478.0900160014
2013-12-06,572026.9849948416,6453.792246609332,465375.2312029955,1043856.0084444465
2013-12-09,582765.9267816853,7055.3801443650755,466990.2214043199,1056811.5283303703
2013-12-10,599590.2502207144,7464.575402541231,476745.71219292947,1083800.537816185
2013-12-11,589209.2966266492,7514.82711173983,477901.1384385151,1074625.2621769041
2013-12-12,618443.0620521418,7944.123024879997,490177.5859546897,1116564.7710317115
2013-12-13,636221.9331695221,8471.050813768628,484452.9348313037,1129145.9188145944
2013-12-16,642068.6958003361,8127.90161082191,480960.41604227683,1131157.013453435
2013-12-17,654597.4472974853,8104.929269632031,492199.5589071858,1154901.935474303
2013-12-18,663069.2578062705,7969.966334410082,493998.37652898784,1165037.6006696685
2013-12-19,656864.5308469665,8254.24963094339,494654.8557631498,1159773.6362410598
2013-12-20,657699.7809467766,8616.063430375487,493249.9422254853,1159565.7866026375
2013-12-23,689319.9752288691,9266.468271045389,499696.73245463445,1198283.1759545489
2013-12-24,691587.0707104944,10044.656041698345,496821.2822713504,1198453.009023543
2013-12-26,688842.6894575489,10525.639291784344,494904.30629158276,1194272.635040916
2013-12-27,661518.0671173364,9153.04219284322,482522.8526117681,1153193.9619219478
2013-12-30,640875.4575077477,8687.851996593861,481853.2303741922,1131416.5398785337
2013-12-31,652091.7089301997,9138.68476675381,483402.5607039157,1144632.9544008693
2014-01-02,652807.6017907468,9691.456439481057,476378.0757337968,1138877.1339640245
2014-01-03,651017.8040125853,9906.822138136191,476745.71219292947,1137670.338343651
2014-01-06,682518.6649197036,9517.728252809713,472110.85501626227,1164147.2481887755
2014-01-07,691109.7730070304,8824.250415985915,445759.2066984906,1145693.2301215068
2014-01-08,694808.7615990485,8512.688325752419,447715.5473521198,1151036.9972769208
2014-01-09,682757.3078053638,8191.07526193982,442542.4060629018,1133490.7891302053
2014-01-10,691348.4278248346,8183.896548895114,436095.60664284125,1135627.931016571
2014-01-13,667126.1868624903,8301.629797493255,442227.27728104463,1117655.0939410282
2014-01-14,688962.0347646675,8357.624735566456,443737.19698234886,1141056.8564825829
2014-01-15,687291.4868364704,8840.04404413109,433784.77253349335,1129916.3034140947
2014-01-16,682399.319612585,8696.466911694335,435491.6534677779,1126587.4399920572
2014-01-17,671779.7112007157,8930.49778114338,433338.3423902568,1114048.551372116
2014-01-21,698149.7381339999,8977.877947693243,431592.07840028766,1138719.6944819808
2014-01-22,686217.5938510004,8964.956005773936,438183.25784876116,1133365.8077055356
2014-01-23,675717.342678394,9016.64377345117,510384.44820357865,1195118.434655424
2014-01-24,649705.2681414556,8864.452443799604,506918.15108499915,1165487.8716702543
2014-01-27,638966.3144224677,8314.551739412562,500550.18211268843,1147831.0482745687
2014-01-28,657938.4238324366,8677.801740900422,534083.8751960516,1200700.1007693885
2014-01-29,638727.6715368078,8535.6606669423,525746.4041848743,1173009.7363886242
2014-01-30,728815.3966698851,9112.840739338062,531326.6017525557,1269254.8391617788
2014-01-31,746594.2677872654,9260.725042170787,537445.1293873453,1293300.1222167816
2014-02-03,733588.2305187961,9368.407891498357,530945.8130990973,1273902.451509392
2014-02-04,748742.0537582056,9522.035423205683,532954.7073845594,1291218.7965659709
2014-02-05,742060.0410275816,9471.78357042995,530998.3299672845,1282530.1545652961
2014-02-06,741702.0886312358,7183.1637922337895,535580.6794666761,1284465.9318901456
2014-02-07,767475.520282514,7803.416860783444,564558.2906756529,1339837.2278189505
2014-02-10,758287.7572524606,7598.101561398885,565162.2714234507,1331048.1302373102
2014-02-11,773799.5328882154,7753.165151584845,569823.3962251229,1351376.0942649231
2014-02-12,769026.6632428713,8162.359691875336,563179.672335728,1340368.6952704745
2014-02-13,803391.2984386308,8107.800812280767,573184.622843682,1384683.7220945936
2014-02-14,800527.5122178452,8247.070343590154,571819.1199344365,1380593.7024958718
2014-02-18,803033.346042285,8353.317565170488,573578.5269278199,1384965.1905352753
2014-02-19,812101.7160366429,7968.53085023998,562260.562806073,1382330.809692956
2014-02-20,830835.1706288077,8130.773153470646,571083.8562070826,1410049.7999893609
2014-02-21,818425.7286423441,8028.832958709153,567512.525352129,1393967.0869531822
2014-02-24,844557.1604185455,8008.732303745138,586905.348571383,1439471.2412936736
2014-02-25,833460.2543032118,7890.999055146997,594822.6938279747,1436173.9471863336
2014-02-26,826420.3369048194,8021.6542456644465,589255.5657364154,1423697.5568868993
2014-02-27,822602.0507342595,8007.2966759979045,593772.2737460289,1424381.6211562864
2014-02-28,816874.5856819869,7883.820342102293,585106.5677132265,1409864.9737373157
2014-03-03,804345.8938455592,7711.527639601053,585054.0508450397,1397111.4723302
2014-03-04,820931.562466784,7793.366605090004,597383.0244203128,1426107.953492187
2014-03-05,853983.5663342591,7807.724605487945,595439.7532428061,1457231.044182553
2014-03-06,845273.0532790925,7872.334458661616,591513.9565048681,1444659.3442426221
2014-03-07,832863.7067497832,7685.683755762438,588704.1294295393,1429253.519935085
2014-03-10,859472.3407722947,7735.936039269567,577648.768030551,1444857.0448421151
2014-03-11,836443.2903739617,7756.03669423358,574405.7089608687,1418605.0360290639
2014-03-12,845750.3509825568,7824.953717803224,573224.0242811895,1426799.3289815495
2014-03-13,821289.5148631297,7691.42698463704,564663.3244120271,1393644.266259794
2014-03-14,808044.822776856,7454.524428962126,557350.0150487021,1372849.3622545204
2014-03-17,820215.5741490826,7473.189599756038,555026.0287450287,1382714.7924938672
2014-03-18,825585.0868050095,7341.098925068486,551782.9237207889,1384709.109450867
2014-03-19,814249.5020075829,7356.892553213663,551572.8470571289,1373179.2416179255
2014-03-20,799095.7145646067,7196.085734153096,557061.15389185,1363352.9541906097
2014-03-21,802317.3577245836,7310.94729652537,533059.7503118452,1342688.055332954
2014-03-24,764850.4246759659,7002.25674894061,497490.9045089262,1269343.5859338327
2014-03-25,774276.8305916797,6874.473244649027,486908.2224963567,1268059.5263326853
2014-03-26,720582.1813181827,6379.131994165086,488798.94004203036,1215760.2533543783
2014-03-27,727502.848866611,6650.492774470554,478163.74116127344,1212317.082802355
2014-03-28,716047.9545584987,6791.198220681444,471191.77305934177,1194030.925838522
2014-03-31,718792.3954721658,6700.7444836691575,462210.9474355938,1187704.0873914286
2014-04-01,747190.8630692712,6745.253681878816,478833.3633988493,1232769.4801499993
2014-04-02,748384.1013618597,6565.78226633287,476456.85103607737,1231406.73466427
2014-04-03,709843.2872599164,6324.572540261987,465703.4662246207,1181871.3260247991
2014-04-04,677149.1880602096,6193.917349744537,442883.7473242951,1126226.8527342493
2014-04-07,679535.6288489536,6094.849415517441,443789.7138505359,1129420.192115007
2014-04-08,694331.4638955843,5998.65244963055,458088.14351011824,1158418.2598553333
2014-04-09,744685.1247019855,6100.592644392044,463523.9334766521,1214309.6508230297
2014-04-10,705905.6557822379,5935.4786549355085,439496.27146255376,1151337.4058997273
2014-04-11,698388.3929518039,5750.264010514961,428966.0787454366,1133104.7357077554
2014-04-14,702683.9648936837,5867.997259113102,435360.3521063987,1143912.3142591955
2014-04-15,705070.405682428,6535.631068521151,428388.3931953785,1139994.4299463276
2014-04-16,712587.6685128621,6377.695935686454,435137.1232484133,1154102.487696962
2014-04-17,703280.572107834,6462.406443824139,453952.2609176089,1163695.2394692672
2014-04-21,730724.539755165,6623.213262884704,457562.9656373355,1194910.7186553853
2014-04-22,752083.042225301,6607.419634739529,489612.9698807538,1248303.4317407943
2014-04-23,732156.3851369807,6597.369379046087,464141.02965512936,1202894.7841711561
2014-04-24,726309.6105740225,6435.127075815421,451759.5759753147,1184504.3136251527
2014-04-25,688604.0346397448,5974.244624270566,422886.97092997783,1117465.250193993
2014-04-28,669870.5681154358,5847.896604149088,412553.7486367525,1088272.2133563375
2014-04-29,693854.2139206972,6119.257240877426,419985.2531216888,1119958.7242832633
