Date,FB,TWTR,NFLX,portfolio daily worth in $,portfolio daily % return
2013-11-07,325853.43881799385,347681.47894737654,326465.08223462955,999999.9999999999,0.0
2013-11-08,325647.882580276,322515.2260242926,334495.36512550217,982658.4737300707,-1.7341526269929137
2013-11-11,316535.510570001,332194.5540716326,337501.7353658774,986231.8000075109,0.3636386774212816
2013-11-12,319344.59188005765,324451.0916337606,333326.7707560535,977122.4542698718,-0.9236515936283681
2013-11-13,333732.5556189757,329871.48436642124,334874.914989896,998478.9549752929,2.1856524340523062
2013-11-14,335650.9731654631,346055.32860503613,342156.10304921126,1023862.4048197104,2.5422118030565417
2013-11-15,335787.97411637986,340557.47801760945,349337.4099332406,1025682.8620672299,0.17780291950851312
2013-11-18,314000.4928245383,318566.03695059055,341357.07462155336,973923.6043966822,-5.046321780811334
2013-11-19,317631.73742270604,323289.55678115494,336882.46648587263,977803.7606897335,0.39840458487038755
2013-11-20,318111.3298193466,317869.12533118215,339109.7831353386,975090.2382858675,-0.2775119623135791
2013-11-21,319961.2194847042,325690.0378803577,348078.92530265194,993730.1826677138,1.9116122436641265
2013-11-22,316741.0462534653,317481.95995275094,347429.7116463801,981652.7178525964,-1.215366608136518
2013-11-25,307080.547114002,302459.65056674177,349816.83398137783,959357.0316621216,-2.2712396945477273
2013-11-26,314411.5573400492,311132.32075369597,354770.85218211095,980314.7302758561,2.1845567314417305
2013-11-27,318522.42859194666,316707.62919588864,362052.0332498836,997282.091037719,1.73080748843674
2013-11-29,322085.1384575667,321895.733542338,365358.01904994616,1009338.891049851,1.2089658603601565
2013-12-02,322427.7299032906,315778.3904729567,363480.30049706466,1001686.4208733118,-0.7581665825419183
2013-12-03,320166.7551681685,320347.0333113012,362501.4915471266,1003015.2800265963,0.13266219104037608
2013-12-04,333115.9280143291,338311.8661671641,355839.54440164665,1027267.3385831399,2.4179151643532877
2013-12-05,331197.5378735131,353256.7486722571,357627.3796849305,1042081.6662307007,1.442110256128013
2013-12-06,328456.9638903326,348068.64432580775,354011.75245332305,1030537.3606694634,-1.1078119820487793
2013-12-09,334623.24678821646,380513.73645356635,355240.27832456015,1070377.2615663428,3.865934648987239
2013-12-10,344283.74592767964,402582.6276318889,362661.29723265814,1109527.6707922267,3.657627140602082
2013-12-11,338323.01926751377,405292.8239982192,363540.231998853,1107156.075264586,-0.2137482092670484
2013-12-12,355108.9998009777,428445.79217438126,372878.9470994996,1156433.7390748586,4.450832625246303
2013-12-13,365317.5986639578,456864.28383444657,368524.1949758529,1190706.0774742572,2.963623184049984
2013-12-16,368674.80025178485,438357.41635139496,365867.42982360476,1172899.6464267846,-1.4954514287223506
2013-12-17,375868.7889726617,437118.46236133546,374417.0654614845,1187404.3167954816,1.236650587531953
2013-12-18,380733.28878012253,429839.5844393484,375785.4291730467,1186358.3023925177,-0.0880925214914883
2013-12-19,377170.54465741327,445171.67104018474,376284.81407484773,1198627.0297724456,1.034150252515252
2013-12-20,377650.1439054718,464685.16540977237,375216.0938891422,1217551.4032043864,1.5788375334346925
2013-12-23,395806.408004817,499763.07348371967,380120.178493775,1275689.6599823118,4.775014559953322
2013-12-24,397108.17054098635,541732.6244100609,377932.81850934855,1316773.613460396,3.2205288454445755
2013-12-26,395532.3512916407,567673.2158334695,376474.5715281886,1339680.1386532988,1.7395947912949152
2013-12-27,379842.59761088184,493645.7304143384,367055.9780551747,1240544.306080395,-7.399962850278525
2013-12-30,367989.64476600854,468556.89662870823,366546.59524768585,1203093.1366424027,-3.018930420657228
2013-12-31,374429.9980799042,492871.39965747605,367725.17353973765,1235026.5712771178,2.65427784949676
2014-01-02,374841.06259541505,522683.7145563583,362381.6355350923,1259906.4126868658,2.0145187146880716
2014-01-03,373813.36362383974,534298.9082131663,362661.29723265814,1270773.5690696642,0.8625367942705557
2014-01-06,391901.10669347306,513314.1327499957,359135.5532706485,1264350.7927141173,-0.5054225640094975
2014-01-07,396834.10697639233,475913.1936881491,339089.80829858995,1211837.1089631314,-4.153410908871061
2014-01-08,398958.060206344,459109.89568489185,340578.0000560169,1198645.9559472527,-1.0885252579173226
2014-01-09,392038.1350500612,441764.52433713374,336642.7824279737,1170445.4418151686,-2.3526975577870366
2014-01-10,396971.14218439825,441377.35895870253,331738.69083179854,1170087.1919748993,-0.030607991408274804
2014-01-13,383062.77084212075,447726.99815775757,336403.0634123627,1167192.832412241,-0.24736272497548448
2014-01-14,395600.8791727705,450746.9407650652,337551.66197043535,1183899.481908271,1.4313529891630998
2014-01-15,394641.65327098215,476764.98229977756,329980.8352824938,1201387.4708532535,1.4771514991115933
2014-01-16,391832.57881234336,469021.5198619055,331279.2625950373,1192133.3612692861,-0.7702851751396143
2014-01-17,385734.8169441715,481643.3713790993,329641.2350915971,1197019.4234148678,0.4098586873182898
2014-01-21,400876.44349574216,484198.69849667215,328312.84901970177,1213387.9910121162,1.3674437755196955
2014-01-22,394025.0256663356,483501.7868772637,333326.7707560535,1210853.5832996527,-0.2088703474269192
2014-01-23,387995.7985307113,486289.43335489754,388250.34255993325,1262535.5744455422,4.268227955774208
